rank1,rank2,rank3,rank_sum,mean_val_mse,std_val_mse,mean_val_r2,std_val_r2
8,4,1,13,8.77461123410564,2.01208601287426,0.154189419551667,0.153021081278895
2,1,1,4,8.79733768297441,2.03817581703629,0.150139627300535,0.165568313197806
8,5,1,14,8.80427585221083,1.88152503502817,0.151582786336421,0.135110658608847
10,5,1,16,8.82167102969125,1.91047394039858,0.149959273397292,0.138858570592855
1,3,2,6,8.82241523304472,2.61061217883874,0.146897509668097,0.228232485276369
6,5,2,13,8.83325347015561,1.06108837397879,0.141814666519467,0.0898817089856727
1,1,2,4,8.83691080993174,2.09130893600184,0.14653337399199,0.169916913697335
9,5,1,15,8.8392948670848,1.93439238492975,0.14838012726567,0.141064593168764
7,5,2,14,8.86146794856724,1.13383677318887,0.139365810128011,0.0976171488594633
1,4,2,7,8.89628524363057,2.6060005609748,0.13991070266037,0.227483092329214
1,5,2,8,8.90254301084373,2.54621335469229,0.139445886689494,0.22058225367465
8,5,2,15,8.91813840500974,1.162867883439,0.132384107934589,0.111869275059662
4,5,2,11,8.93685057984416,0.881627030238345,0.130440146301855,0.0834224784918025
5,3,2,10,8.96009591376965,2.2642251650165,0.135163765249874,0.179498167324973
9,4,2,15,8.98183397991919,1.32767795654773,0.126000766568637,0.12499603992944
10,4,2,16,8.9899665878329,1.3254765393167,0.125112367245058,0.125579212869857
8,4,2,14,8.99873177050693,1.30604349933947,0.124793029242751,0.119302312305753
9,5,2,16,9.02490625351023,1.08963146690906,0.122282212791293,0.102939929148021
5,5,2,12,9.03484836603257,1.42620578943115,0.123291975681654,0.117266889456908
3,1,2,6,9.05728268053179,1.93502705360266,0.12158280405979,0.167643639257987
2,1,2,5,9.0609339267466,1.8989105994594,0.121274734764697,0.163662399667639
10,5,2,17,9.06643747703898,1.11244949339131,0.118341588883437,0.103730116364707
4,3,2,9,9.07084461458593,2.08285696761783,0.122767305650947,0.166296081000092
7,4,2,13,9.07384612298681,1.26121850054945,0.118929888211169,0.102450216965791
6,4,2,12,9.10356054665747,1.3938727552908,0.117227367903934,0.106705016878603
4,4,2,10,9.10952949485031,0.858771887267635,0.115454405720523,0.0548368752152781
7,1,2,10,9.14705936761324,1.65835113952268,0.112620968217135,0.140203217989729
3,5,2,10,9.15163217550442,1.25320585538561,0.111883517018517,0.0976057119628541
5,4,2,11,9.19631108937152,1.33318840674234,0.108309837378811,0.0974539416171387
6,1,2,9,9.22574726475268,1.76064890691697,0.10610568391511,0.143901498288801
8,1,2,11,9.31819241713311,1.71396307957888,0.0965039556259749,0.141389234533173
3,4,2,9,9.3734197062038,1.05215046619348,0.0891798336643709,0.0852532402428544
9,1,2,12,9.44428584259158,1.80837963314256,0.0849113060195162,0.14639367633243
10,1,2,13,9.47377871493398,1.83353646858048,0.0822254280635861,0.147750433451637
4,1,2,7,9.49044423469026,1.97256014612942,0.0815210064465612,0.158814018356058
5,1,2,8,9.55437229194014,2.04570568475455,0.075954311313034,0.162177167728845
3,3,2,8,9.59473484750873,1.68194733548808,0.0681502096310087,0.143925931422371
