fold,rank1,rank2,rank3,n_train,n_val,val_mse,val_r2,fit_iterations,train_mse
5,5,2,1,318,79,8.01731058451348,0.259115674665906,4000,7.28650887367512
1,6,2,1,317,80,10.3930436523129,0.033008614012678,4000,4.87633565834452
2,6,2,1,317,80,9.93622144785201,0.0870336025628731,4000,7.00552626683077
3,6,2,1,318,79,8.17421614899625,0.184048516936615,4000,5.44001947055882
4,6,2,1,318,79,4.99959895964695,0.447305790613053,4000,6.37931241100429
5,6,2,1,318,79,8.05617841194101,0.255523876169728,4000,7.27435639794982
1,7,2,1,317,80,10.3899058809071,0.0333005590888366,4000,4.87550001692716
2,7,2,1,317,80,9.96563370845151,0.084331125998624,4000,7.00604139845362
3,7,2,1,318,79,8.2777137021096,0.173717375648328,4000,5.43492174551587
4,7,2,1,318,79,4.95980032550176,0.451705438427026,4000,6.36385523749461
5,7,2,1,318,79,8.05478170854091,0.255652946341747,4000,7.28790113604177
1,8,2,1,317,80,10.3823615801782,0.0340024972372951,4000,4.87540184132159
2,8,2,1,317,80,10.0206009492278,0.0792805900326206,4000,6.99565556310896
3,8,2,1,318,79,8.21824310798718,0.179653739281043,4000,5.42495746722202
4,8,2,1,318,79,4.95912885265203,0.451779668212015,4000,6.32423008883031
5,8,2,1,318,79,8.05097079607767,0.256005114974791,4000,7.28963746876849
1,9,2,1,317,80,10.3916916960877,0.0331344029603398,4000,4.87506567465624
2,9,2,1,317,80,10.0288082986058,0.0785264769893975,4000,6.99491545212057
3,9,2,1,318,79,8.22911396228352,0.178568608973306,4000,5.41583865090466
4,9,2,1,318,79,4.96087565339883,0.451586563391909,4000,6.32064652630778
5,9,2,1,318,79,8.05368087097056,0.255754675380683,4000,7.29417174774926
1,10,2,1,317,80,10.394028174293,0.0329170119463376,4000,4.87677368948574
2,10,2,1,317,80,10.0358569108561,0.0778788317887732,4000,6.99542929675059
3,10,2,1,318,79,8.23464240076766,0.178016759413919,4000,5.41738984317116
4,10,2,1,318,79,4.97531632364903,0.449990180383717,4000,6.32063433457877
5,10,2,1,318,79,8.05852084549045,0.255307410525592,4000,7.2955160927778
1,1,3,1,317,80,11.6148152238041,-0.0806676703174902,4000,6.77022022874115
2,1,3,1,317,80,8.73759791950669,0.197166313503345,4000,7.61184235358844
3,1,3,1,318,79,9.39178144805838,0.0625109660096969,4000,7.11556468417223
4,1,3,1,318,79,5.87921012189485,0.350066792083285,4000,6.90573182889917
5,1,3,1,318,79,7.57948123870907,0.299575738680933,4000,7.93839263196209
1,2,3,1,317,80,10.4743221780104,0.0254462832032861,4000,4.85662238701768
2,2,3,1,317,80,9.83703622113972,0.0961470044315561,4000,6.94117978262557
3,2,3,1,318,79,8.10893464075953,0.190564926888522,4000,5.41184569617937
4,2,3,1,318,79,5.08112883312292,0.438292849910024,4000,6.43230121226516
5,2,3,1,318,79,7.98510184736413,0.262092102763734,4000,7.37136714586254
1,3,3,1,317,80,10.855771440841,-0.010044585851835,4000,4.45643529156248
2,3,3,1,317,80,10.7954938257625,0.00808137596492386,4000,6.21459395377339
3,3,3,1,318,79,8.36297103871097,0.165206975510394,4000,5.26101742226281
4,3,3,1,318,79,5.58445628313797,0.382651153587153,4000,6.02471540347514
5,3,3,1,318,79,7.65694889014194,0.292416908040403,4000,6.15570580798533
1,4,3,1,317,80,10.8799637382097,-0.0122954898165824,4000,4.46115765285566
2,4,3,1,317,80,10.791916686259,0.00841005303626963,4000,6.19066935207021
3,4,3,1,318,79,8.36157055506082,0.165346771998585,4000,5.25967912872651
4,4,3,1,318,79,5.83373755615929,0.355093680033871,4000,6.33388413135495
5,4,3,1,318,79,7.77334537222331,0.281660641560632,4000,6.19126450534914
1,5,3,1,317,80,10.8453771503517,-0.00907747845742146,4000,4.45701515634262
2,5,3,1,317,80,10.8376592299081,0.00420710672472502,4000,6.17416762527963
3,5,3,1,318,79,8.27912363589036,0.17357663584668,4000,5.23719443696425
4,5,3,1,318,79,5.75703450351435,0.363573026753743,4000,6.44377611254392
5,5,3,1,318,79,7.7602713321216,0.28286882119619,4000,6.1792723670914
1,6,3,1,317,80,10.8428850057561,-0.00884560390390532,4000,4.48116698431185
2,6,3,1,317,80,10.7531880928536,0.0119685389843356,4000,6.20523751118153
3,6,3,1,318,79,8.32352899769548,0.169144085965393,4000,5.22989148121547
