"loading_type","loading_label","roi_name","band_name","condition_name","roi_index","band_index","condition_index","fro_norm","delta_hat","sdest","ci_low","ci_high","excludes_zero","N","rank1","rank2","rank3","cv_mean_val_mse","cv_mean_val_r2","loading_normalization"
"single_element","temporal_right | gamma1 | EO","temporal_right","gamma1","EO","7","7","2","1","59.5574353305295","403.472661529146","19.8687282993481","99.2461423617109","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | gamma2 | EC","temporal_right","gamma2","EC","7","8","1","1","29.0561329022599","199.429701123615","9.43867740672951","48.6735883977903","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | delta | EC","posterior_left","delta","EC","8","1","1","1","133.083326226083","361.948981768242","97.479211084328","168.687441367839","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | theta | EC","posterior_left","theta","EC","8","2","1","1","-212.226684419405","469.364346142973","-258.3970097008","-166.056359138011","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | alpha1 | EC","posterior_left","alpha1","EC","8","3","1","1","36.8947251359591","301.900647007923","7.19743093463682","66.5920193372813","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | alpha2 | EC","posterior_left","alpha2","EC","8","4","1","1","-57.3445646059864","275.647833063965","-84.4594279744067","-30.2297012375661","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | gamma2 | EO","temporal_right","gamma2","EO","7","8","2","1","-23.5235514215885","216.339424745","-44.8043787655208","-2.24272407765618","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | delta | EO","posterior_left","delta","EO","8","1","2","1","-144.228673847618","384.158266049125","-182.017466815761","-106.439880879476","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | theta | EO","posterior_left","theta","EO","8","2","2","1","205.355500203478","478.744314379927","158.262488339287","252.448512067669","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | alpha1 | EO","posterior_left","alpha1","EO","8","3","2","1","-26.4600715319692","301.712717129944","-56.1388794897843","3.21873642584589","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | alpha2 | EO","posterior_left","alpha2","EO","8","4","2","1","46.006643821436","278.958346553647","18.5661326147785","73.4471550280936","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | beta1 | EC","posterior_left","beta1","EC","8","5","1","1","206.251530528374","561.687072088401","150.999624332722","261.503436724026","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
