loading_type,loading_label,roi_name,band_name,condition_name,roi_index,band_index,condition_index,fro_norm,delta_hat,sdest,ci_low,ci_high,excludes_zero,N,rank1,rank2,rank3,cv_mean_val_mse,cv_mean_val_r2,loading_normalization,excludes_zero_bool
band_slice,Band slice: alpha1,,alpha1,,,3.0,,4.47213595499958,-0.0290084228173542,4.114931583588,-0.433785077214251,0.375768231579542,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
band_slice,Band slice: alpha2,,alpha2,,,4.0,,4.47213595499958,1.14234901765695,3.7329144660883,0.775150536214519,1.50954749909938,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
band_slice,Band slice: beta1,,beta1,,,5.0,,4.47213595499958,0.988733426810523,7.60426114028211,0.240719195954259,1.73674765766679,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
band_slice,Band slice: beta2,,beta2,,,6.0,,4.47213595499958,0.546734226205051,9.16446032157362,-0.354753322971926,1.44822177538203,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
band_slice,Band slice: gamma1,,gamma1,,,7.0,,4.47213595499958,-1.69234252860258,11.8774684033802,-2.86070263991044,-0.523982417294723,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
band_slice,Band slice: gamma2,,gamma2,,,8.0,,4.47213595499958,0.988346836662592,8.26271482597131,0.175561983365947,1.80113168995924,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
condition_slice,Condition slice: EC,,,EC,,,1.0,8.94427190999916,0.0696340118184605,2.6201903327321,-0.188108275075557,0.327376298712478,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
condition_slice,Condition slice: EO,,,EO,,,2.0,8.94427190999916,-0.0276972830214412,3.17670500599057,-0.340182678759063,0.284788112716181,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
full_tensor,all_elements,,,,,,,12.6491106406735,0.0034848608316348,1.31355258436424,-0.125726381122902,0.132696102786172,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
shared_band,shared: delta,,delta,shared,,1.0,,3.16227766016838,0.258462281652403,4.93202378981918,-0.226689913103697,0.743614476408503,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
shared_band,shared: theta,,theta,shared,,2.0,,3.16227766016838,-1.67062558564035,6.46796185146638,-2.30686458641627,-1.03438658486443,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
shared_band,shared: alpha1,,alpha1,shared,,3.0,,3.16227766016838,-0.0290084228173542,4.114931583588,-0.433785077214251,0.375768231579542,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
shared_band,shared: alpha2,,alpha2,shared,,4.0,,3.16227766016838,1.14234901765695,3.7329144660883,0.775150536214519,1.50954749909938,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
shared_band,shared: beta1,,beta1,shared,,5.0,,3.16227766016838,0.988733426810523,7.60426114028211,0.240719195954259,1.73674765766679,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
shared_band,shared: beta2,,beta2,shared,,6.0,,3.16227766016838,0.546734226205051,9.16446032157362,-0.354753322971926,1.44822177538203,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
shared_band,shared: gamma1,,gamma1,shared,,7.0,,3.16227766016838,-1.69234252860258,11.8774684033802,-2.86070263991044,-0.523982417294723,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
